date;value;Total
16.11.2022;630;82710
17.11.2022;400;63110
18.11.2022;350;83460
19.11.2022;420;83880
20.11.2022;330;84210
21.11.2022;390;84600
22.11.2022;400;85000
23.11.2022;410;85410
24.11.2022;310;85720
25.11.2022;430;86150
26.11.2022;560;86710
27.11.2022;600;87310
28.11.2022;590;87900
29.11.2022;480;88380
30.11.2022;500;88880
01.12.2022;560;89440
02.12.2022;650;90090
03.12.2022;510;90600
04.12.2022;550;91150
05.12.2022;540;91690
06.12.2022;510;92200
07.12.2022;540;92740
08.12.2022;340;93080
09.12.2022;310;93390
10.12.2022;360;93750
11.12.2022;390;94140
12.12.2022;620;94760
13.12.2022;500;95260
14.12.2022;740;96000
15.12.2022;590;96590
16.12.2022;680;97270
17.12.2022;420;97690
18.12.2022;590;98280
19.12.2022;520;98800
20.12.2022;430;99230
21.12.2022;510;99740
22.12.2022;660;100400
23.12.2022;400;100950
24.12.2022;480;101430
25.12.2022;620;102050
26.12.2022;550;102600
27.12.2022;620;103220
28.12.2022;550;103770
29.12.2022;790;104560
30.12.2022;690;105250
31.12.2022;710;105960
01.01.2023;760;106720
02.01.2023;720;107440
03.01.2023;750;108190
04.01.2023;720;108910
05.01.2023;810;109720
06.01.2023;530;110250
07.01.2023;490;110740
08.01.2023;430;111170
09.01.2023;590;111760
10.01.2023;710;112470
11.01.2023;490;112960
12.01.2023;430;113990
13.01.2023;740;114130
14.01.2023;530;114660
15.01.2023;630;115290
16.01.2023;790;116080
17.01.2023;870;116950
18.01.2023;820;117770
19.01.2023;760;118530
20.01.2023;770;119330
21.01.2023;860;120160
22.01.2023;600;120760
23.01.2023;720;121480
24.01.2023;690;122170
25.01.2023;910;123080
26.01.2023;780;123860
27.01.2023;850;124710
28.01.2023;800;125510
29.01.2023;650;126160
30.01.2023;490;126650
31.01.2023;850;127500
01.02.2023;920;128420
02.02.2023;610;129030
03.02.2023;840;129870
04.02.2023;720;130590
05.02.2023;700;131290
06.02.2023;870;132160
07.02.2023;1030;133190
08.02.2023;910;134100
09.02.2023;910;135010
10.02.2023;730;165740
11.02.2023;1140;136880
12.02.2023;900;137780
13.02.2023;560;138340
14.02.2023;740;139080
15.02.2023;690;139770
16.02.2023;690;140460
17.02.2023;800;141260
18.02.2023;1010;142270
19.02.2023;590;142860
20.02.2023;820;143680
21.02.2023;760;144440
22.02.2023;620;145060
23.02.2023;790;145850
24.02.2023;970;146820
